"filename", "language", "Markdown", "YAML", "pip requirements", "Shell Script", "TypeScript", "Python", "TypeScript JSX", "Docker", "Properties", "JSON with Comments", "JSON", "Ignore", "PostCSS", "Ini", "HTML", "comment", "blank", "total"
"/Users/federico/Documents/Personal-DEV/core/backend/domain/race.py", "Python", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 62
"/Users/federico/Documents/Personal-DEV/core/backend/domain/raceday.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/federico/Documents/Personal-DEV/core/backend/domain/regatta.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"/Users/federico/Documents/Personal-DEV/core/backend/domain/session.py", "Python", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 54
"/Users/federico/Documents/Personal-DEV/core/backend/domain/user.py", "Python", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"/Users/federico/Documents/Personal-DEV/core/backend/main.py", "Python", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 62
"/Users/federico/Documents/Personal-DEV/core/backend/noaa_buoys.py", "Python", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 54, 325
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/__init__.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 30
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/base.py", "Python", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 41
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/__init__.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 53
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/_blob_sessions.py", "Python", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/_mappers.py", "Python", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 45, 360
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/auth_token_repo.py", "Python", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 64
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/boat_repo.py", "Python", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 113
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/club_repo.py", "Python", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 80
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/device_repo.py", "Python", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 95
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/group_repo.py", "Python", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 95
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/race_repo.py", "Python", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 50
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/raceday_repo.py", "Python", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/regatta_repo.py", "Python", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/session_repo.py", "Python", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 113
"/Users/federico/Documents/Personal-DEV/core/backend/repositories/sql/user_repo.py", "Python", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 57
"/Users/federico/Documents/Personal-DEV/core/backend/routers/__init__.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 59
"/Users/federico/Documents/Personal-DEV/core/backend/routers/_common.py", "Python", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 34, 125
"/Users/federico/Documents/Personal-DEV/core/backend/routers/analysis.py", "Python", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 59
"/Users/federico/Documents/Personal-DEV/core/backend/routers/auth.py", "Python", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 32, 203
"/Users/federico/Documents/Personal-DEV/core/backend/routers/boats.py", "Python", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 25, 158
"/Users/federico/Documents/Personal-DEV/core/backend/routers/buoys.py", "Python", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 107
"/Users/federico/Documents/Personal-DEV/core/backend/routers/clubs.py", "Python", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 85
"/Users/federico/Documents/Personal-DEV/core/backend/routers/data.py", "Python", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 13, 82
"/Users/federico/Documents/Personal-DEV/core/backend/routers/devices.py", "Python", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 155
"/Users/federico/Documents/Personal-DEV/core/backend/routers/download.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 48
"/Users/federico/Documents/Personal-DEV/core/backend/routers/e1.py", "Python", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 175
"/Users/federico/Documents/Personal-DEV/core/backend/routers/fleet.py", "Python", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 51
"/Users/federico/Documents/Personal-DEV/core/backend/routers/groups.py", "Python", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 102
"/Users/federico/Documents/Personal-DEV/core/backend/routers/ingest.py", "Python", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 20, 131
"/Users/federico/Documents/Personal-DEV/core/backend/routers/leaderboard.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 36
"/Users/federico/Documents/Personal-DEV/core/backend/routers/racedays.py", "Python", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 78
"/Users/federico/Documents/Personal-DEV/core/backend/routers/races.py", "Python", 0, 0, 0, 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 89, 537
"/Users/federico/Documents/Personal-DEV/core/backend/routers/regattas.py", "Python", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 81
"/Users/federico/Documents/Personal-DEV/core/backend/routers/sessions.py", "Python", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 33, 229
"/Users/federico/Documents/Personal-DEV/core/backend/routers/video.py", "Python", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 30
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/__init__.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 50
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/auth.py", "Python", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 21
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/boat.py", "Python", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 31
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/club.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 20
"/Users/federico/Documents/Personal-DEV/core/backend/schemas/device.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 24
